Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade
1,8,2,3,2,1,2,2,3,65
1,8,1,5,1,1,1,2,1,80
0,8,3,5,1,1,1,4,2,90
0,8,0,0,0,0,1,3,4,95
1,8,0,0,0,0,1,4,2,80
0,8,2,5,1,1,2,3,1,70
1,8,2,3,2,1,1,3,3,55
0,8,1,5,1,1,1,4,3,72.5
1,8,1,1,4,1,1,3,3,55
0,8,0,0,0,0,1,4,4,96
0,8,0,0,0,0,2,4,4,72
0,8,0,0,0,0,2,3,2,80
0,8,3,2,1,1,3,5,4,80
0,8,2,5,1,1,2,4,6,100
0,8,0,0,0,0,1,2,2,75
1,8,0,0,0,0,3,3,4,94.5
1,8,0,0,0,0,1,3,1,60
0,8,0,0,0,0,1,2,4,90
0,8,0,0,0,0,1,3,2,50
1,8,0,0,0,0,1,3,4,75
1,8,0,0,0,0,1,2,2,60
1,8,0,0,0,0,2,3,4,80
1,8,0,0,0,0,2,4,2,50
0,8,0,0,0,0,1,5,2,85
0,8,0,0,0,0,2,2,4,89
0,8,0,0,0,0,2,3,2,85
0,8,1,5,1,1,1,3,2,80
0,8,0,0,0,0,2,3,3,95
1,8,1,1,1,1,4,4,4,70
0,8,3,1,3,1,3,2,3,65
0,8,0,0,0,0,1,3,2,45
1,8,0,0,0,0,2,4,5,60
1,8,3,4,4,1,1,2,3,85
0,8,0,0,0,0,3,3,3,75.6
1,8,2,1,3,1,3,5,5,79.8
1,8,2,5,2,1,2,2,4,70
0,8,0,0,0,0,1,2,2,88
1,8,0,0,0,0,2,2,2,74
1,8,2,5,1,1,3,4,4,80
0,8,2,3,2,1,2,3,2,60
0,8,0,0,0,0,1,1,1,75
0,8,0,0,0,0,1,3,4,85
1,8,3,1,3,1,2,5,5,79
1,8,3,1,4,1,2,6,4,90
0,8,2,4,3,1,2,4,3,87
1,8,1,1,1,1,1,5,2,55
0,8,0,0,0,0,3,3,4,98
1,8,1,4,1,1,2,5,4,80
1,8,0,0,0,0,1,4,2,67
1,8,2,1,4,1,2,4,3,75
1,8,1,1,1,1,2,2,3,75
1,8,3,3,2,1,1,2,3,90
0,8,2,2,2,1,2,4,3,67.5
1,9,0,0,0,0,0,4,3,100
0,9,0,0,0,0,0,4,4,80
1,9,0,0,0,0,0,6,6,100
0,9,1,5,1,1,0,4,3,100
0,9,0,0,0,0,0,6,6,100
0,9,0,0,0,0,0,5,3,85
0,9,0,0,0,0,0,5,6,100
0,9,0,0,0,0,0,5,5,100
0,9,0,0,0,0,0,5,5,100
1,9,4,5,3,1,0,5,5,100
1,9,2,4,2,1,0,5,5,90
0,9,2,4,2,1,0,5,5,100
0,9,0,0,0,0,0,4,3,100
0,9,0,0,0,0,0,5,3,100
0,9,0,0,0,0,0,6,6,100
0,9,0,0,0,0,0,5,6,100
0,9,0,0,0,0,0,6,6,100
0,9,0,0,0,0,0,5,5,100
0,9,2,5,2,1,0,6,6,100
0,9,0,0,0,0,0,5,5,85
1,9,3,5,1,1,0,5,5,100
